X,Y,OBJECTID,DAMS00X020,DAM_NAME,OTHER_NAME,NIDID,LONGITUDE,LATITUDE,COUNTY,RIVER,CITY,OWN_NAME,OWN_TYPE,DAM_TYPE,PURPOSES,YR_COMPL,NID_HEIGHT,MAX_STOR,NORMAL_STO,SURF_AREA,DRAIN_AREA,HAZARD,STATE,SYMBOL
-66.561598396636953,18.01730278610464,1,1,BRONCE, ,PR00027,-66.5616,18.0173,PONCE,CHANNEL FROM LAGO GILES,COTO LAUREL,SUCESION J. SERRALLES INC.,P,RE,I,1939,52,843,620,0,0,S,PR,I
-66.384398339760736,18.017902757416984,2,2,COAMO, ,PR00016,-66.3844,18.0179,COAMO,COAMO,FELICIA,COMMONWEALTH OF P.R.,S,CBRE,I,1914,65,1280,0,145,66,H,PR,I
-66.020998265688135,18.02100276087457,3,3,PATILLAS, ,PR00023,-66.021,18.021,PATILLAS,RIO GRANDE DE PATILLAS,PATILLAS,COMMONWEALTHOF P.R.,S,RE,I,1914,147,13797,11029,367,25,H,PR,I
-66.886298521856929,18.044602796945671,4,4,LOCO, ,PR00004,-66.8863,18.0446,YAUCO,LOCO,PALOMAS,COMMONWEALTH OF P.R.,S,CNPG,IS,1951,74,2059,1039,69,8,H,PR,I
-66.561598396636953,18.05830279129048,5,5,ANA MARIA 5, ,PR00031,-66.5616,18.0583,PONCE,INABON RIVER OFFSTREAM,COTO LAUREL,SUCESION J. SERRALLES INC.,P,RE,I,1939,53,2382,1927,79,0,H,PR,I
-66.634998442233396,18.070002804421961,6,6,PORTUGUES,LAGO PORTUGUES,PR82202,-66.635,18.07,NONE,PORTUGUES,PONCE,CESAJ,F,CNVA,CSR, ,274,32000,16841,230,10,H,PR,C
-66.106598282649188,18.078202784160016,7,7,CARITE, ,PR00021,-66.1066,18.0782,GUAYAMA,LA PLATA,GUAYAMA,PREPA (FORMERLY PRWRA),U,RE,HSIR,1913,104,14992,8953,333,8,H,PR,H
-66.864998529527597,18.083102773201084,8,8,ANTONIO LUCCHETTI,YAUCO DAM,PR00003,-66.865,18.0831,YAUCO,YAUCO,YAUCO,PREPA (FORMERLY PRWRA),U,CNPG,HIS,1952,175,17595,11575,266,17,H,PR,H
-66.503298397654277,18.088802817804005,9,9,GUAYABAL, ,PR00013,-66.5033,18.0888,JUANA DIAZ,JACAGUAS,JUANA DIAZ,COMMONWEALTH OF P.R.,S,CNCB,IS,1913,130,5933,4768,373,21,H,PR,I
-66.484998392098348,18.103302797779229,10,10,TOA VACA DAM, ,PR00014,-66.485,18.1033,VILLALBA,TOA VACA,JUANA DIAZ,PR AQUEDUCT & SEWER AUTH,U,REER,IS,1972,215,54875,50620,836,22,H,PR,I
-66.741298483813495,18.133002828658348,11,11,GARZAS, ,PR00006,-66.7413,18.133,ADJUNTAS,VACAS,ADJUNTAS,PREPA (FORMERLY PRWRA),U,RE,HS,1943,201,4873,4073,108,6,H,PR,H
-66.525998399082525,18.161602795537654,12,12,GUINEO, ,PR00012,-66.526,18.1616,VILLALBA,TORO NEGRO,CIALES,PREPA (FORMERLY PRWRA),U,EREROT,HI,1931,125,1954,1635,77,2,H,PR,H
-66.855218483892813,18.183272799540877,13,13,PRIETO, ,PR00002,-66.85522,18.18327,MARICAO,PRIETO,ANASCO,PREPA (FORMERLY PRWRA),U,PG,HI,1955,98,565,285,20,10,H,PR,H
-66.141298283273272,18.198002839803138,14,14,CIDRA, ,PR00020,-66.1413,18.198,CIDRA,BAYAMON,MONTE LLANO,PR AQUEDUCT & SEWER AUTH,U,CNPG,S,1946,115,10800,5300,268,8,H,PR,S
-66.731598446629491,18.201602834559672,15,15,ADJUNTAS, ,PR00007,-66.7316,18.2016,ADJUNTAS,RIO GRANDE DE ARECIBO,UTUADO,PREPA (FORMERLY PRWRA),U,CNPG,H,1950,80,760,465,15,15,H,PR,H
-66.70659843827363,18.211602808971893,16,16,PELLEJAS, ,PR00008,-66.7066,18.2116,ADJUNTAS,PELLEJAS,UTUADO,PREPA (FORMERLY PRWRA),U,CNPG,H,1950,50,280,108,5,9,H,PR,H
-66.478998370940857,18.211602812385149,17,17,MATRULLAS, ,PR00015,-66.479,18.2116,OROCOVIS,MATRULLAS,CIALES,PREPA (FORMERLY PRWRA),U,RE,HI,1934,120,2879,2294,77,4,H,PR,H
-66.831598480951172,18.21330284651005,18,18,GUAYO, ,PR00005,-66.8316,18.2133,ADJUNTAS,GUAYO,ESPINO,PREPA (FORMERLY PRWRA),U,PG,HI,1956,190,14515,11527,285,10,H,PR,H
-66.815998478762651,18.219302822081264,19,19,YAHUECAS, ,PR00025,-66.816,18.2193,ADJUNTAS,RIO BLANCO,ESPINO,PREPA (FORMERLY PRWRA),U,CNPG,HIS,1956,90,1300,470,55,17,H,PR,H
-66.676598468131829,18.233002813539755,20,20,VIVI, ,PR00010,-66.6766,18.233,UTUADO,VIVI,UTUADO,PREPA (FORMERLY PRWRA),U,CNPG,H,1950,85,174,71,8,7,H,PR,H
